2293740.000002,828864.000002
,"[80000.00000001, 720000.00000001]"
月,"[23267.00000001, 25740.00000001]"
光临,"[4438.00000001, 89.00000001000001]"
全场,"[6696.00000001, 229.00000001]"
立,"[1716.00000001, 558.00000001]"
致电,"[3974.00000001, 124.00000001000001]"
热线,"[2948.00000001, 492.00000001]"
经理,"[3075.00000001, 1388.00000001]"
公司,"[10142.00000001, 17246.00000001]"
尊敬,"[4350.00000001, 96.00000001000001]"
价值,"[2859.00000001, 1628.00000001]"
节日,"[2273.00000001, 111.00000001000001]"
微软,"[2.00000001, 6827.00000001]"
老,"[4415.00000001, 2335.00000001]"
店,"[12487.00000001, 2760.00000001]"
3,"[1e-08, 8970.00000001]"
手机,"[2250.00000001, 35017.00000001]"
最低,"[2154.00000001, 502.00000001]"
在,"[9497.00000001, 80881.00000001]"
咨询,"[6567.00000001, 3858.00000001]"
4,"[1e-08, 6877.00000001]"
2015,"[1e-08, 11331.00000001]"
电脑,"[547.00000001, 20432.00000001]"
期待,"[2762.00000001, 895.00000001]"
现金,"[2301.00000001, 907.00000001]"
您好,"[11367.00000001, 50.00000001]"
时候,"[183.00000001, 10073.00000001]"
了,"[7284.00000001, 137863.00000001]"
报名,"[4092.00000001, 1086.00000001]"
免费,"[5348.00000001, 2694.00000001]"
元宵节,"[2917.00000001, 3.00000001]"
原价,"[1672.00000001, 326.00000001]"
还是,"[127.00000001000001, 8924.00000001]"
多多,"[2063.00000001, 195.00000001]"
都,"[2681.00000001, 37930.00000001]"
辅导,"[1578.00000001, 171.00000001]"
2,"[1e-08, 9305.00000001]"
妇女节,"[2941.00000001, 1.00000001]"
产品,"[5384.00000001, 4418.00000001]"
优惠活动,"[2511.00000001, 1e-08]"
什么,"[684.00000001, 16013.00000001]"
被,"[355.00000001, 23271.00000001]"
享,"[3306.00000001, 425.00000001]"
贷款,"[3208.00000001, 815.00000001]"
本店,"[2626.00000001, 112.00000001000001]"
祝,"[2455.00000001, 356.00000001]"
你好,"[4432.00000001, 251.00000001]"
三八节,"[2347.00000001, 1e-08]"
满,"[8149.00000001, 987.00000001]"
元宵,"[5503.00000001, 10.00000001]"
浙江,"[244.00000001, 14522.00000001]"
价格,"[3289.00000001, 2043.00000001]"
专柜,"[3004.00000001, 293.00000001]"
现,"[3524.00000001, 1304.00000001]"
卡,"[4086.00000001, 2809.00000001]"
促销,"[1734.00000001, 253.00000001]"
日,"[16592.00000001, 20035.00000001]"
质疑,"[1.00000001, 6722.00000001]"
回馈,"[3369.00000001, 100.00000001000001]"
真相,"[27.00000001, 9191.00000001]"
骨,"[32.00000001, 8693.00000001]"
声音,"[45.00000001, 8601.00000001]"
即,"[2564.00000001, 775.00000001]"
也,"[1700.00000001, 27704.00000001]"
如有,"[1262.00000001, 118.00000001000001]"
机器人,"[14.00000001, 7356.00000001]"
详,"[2254.00000001, 42.00000001]"
询,"[2643.00000001, 31.00000001]"
即日,"[1326.00000001, 11.00000001]"
哈哈,"[28.00000001, 8473.00000001]"
请,"[4805.00000001, 3108.00000001]"
说,"[165.00000001, 19210.00000001]"
亲,"[2978.00000001, 752.00000001]"
联系电话,"[1584.00000001, 389.00000001]"
7,"[1e-08, 12499.00000001]"
低价,"[1446.00000001, 1.00000001]"
万,"[5236.00000001, 5056.00000001]"
三八妇女节,"[1507.00000001, 1e-08]"
元,"[28751.00000001, 7926.00000001]"
新年好,"[1932.00000001, 1e-08]"
买,"[6464.00000001, 6909.00000001]"
新年,"[4387.00000001, 34.00000001]"
至,"[5606.00000001, 4799.00000001]"
特,"[3453.00000001, 1559.00000001]"
妇女,"[3031.00000001, 519.00000001]"
赠送,"[3584.00000001, 270.00000001]"
节日快乐,"[1072.00000001, 17.00000001]"
感谢,"[4209.00000001, 1224.00000001]"
客户,"[6239.00000001, 1952.00000001]"
啊,"[246.00000001, 11353.00000001]"
三八,"[6633.00000001, 18.00000001]"
优惠,"[13884.00000001, 1.00000001]"
羊,"[2157.00000001, 300.00000001]"
需,"[2560.00000001, 927.00000001]"
感恩,"[1305.00000001, 145.00000001]"
银行,"[3557.00000001, 3346.00000001]"
当天,"[2505.00000001, 335.00000001]"
女人,"[5691.00000001, 1226.00000001]"
前来,"[2259.00000001, 280.00000001]"
可,"[8099.00000001, 4678.00000001]"
期间,"[2136.00000001, 831.00000001]"
房,"[3560.00000001, 1104.00000001]"
号,"[13950.00000001, 8747.00000001]"
凡,"[2463.00000001, 537.00000001]"
活动,"[21564.00000001, 6119.00000001]"
亲爱,"[2358.00000001, 277.00000001]"
春装,"[1523.00000001, 5.00000001]"
金,"[2943.00000001, 2211.00000001]"
特惠,"[1941.00000001, 83.00000001000001]"
来电,"[2628.00000001, 321.00000001]"
三月,"[2138.00000001, 112.00000001000001]"
享受,"[4380.00000001, 596.00000001]"
迎新,"[1240.00000001, 44.00000001]"
送,"[16827.00000001, 2473.00000001]"
减,"[4032.00000001, 394.00000001]"
详情,"[2440.00000001, 647.00000001]"
老客,"[2085.00000001, 34.00000001]"
购,"[2670.00000001, 477.00000001]"
推出,"[5632.00000001, 1976.00000001]"
返,"[1552.00000001, 220.00000001]"
新春,"[1677.00000001, 15.00000001]"
套,"[2289.00000001, 1200.00000001]"
大礼,"[1415.00000001, 67.00000001000001]"
祝您,"[3981.00000001, 14.00000001]"
惊喜,"[2373.00000001, 311.00000001]"
这,"[1063.00000001, 17682.00000001]"
地址,"[7427.00000001, 1337.00000001]"
专业,"[3621.00000001, 2682.00000001]"
销售,"[2598.00000001, 1725.00000001]"
8,"[1e-08, 9666.00000001]"
要,"[921.00000001, 17240.00000001]"
办理,"[2458.00000001, 779.00000001]"
去,"[558.00000001, 19200.00000001]"
家长,"[2018.00000001, 542.00000001]"
楼,"[3046.00000001, 2134.00000001]"
苏州,"[101.00000001000001, 8136.00000001]"
新,"[7578.00000001, 7167.00000001]"
提前,"[2011.00000001, 708.00000001]"
贷,"[2023.00000001, 511.00000001]"
礼品,"[3114.00000001, 190.00000001]"
电话,"[10479.00000001, 4088.00000001]"
品牌,"[3220.00000001, 2244.00000001]"
感谢您,"[2254.00000001, 13.00000001]"
法院,"[157.00000001, 10592.00000001]"
政府,"[214.00000001, 10919.00000001]"
美容,"[2218.00000001, 1066.00000001]"
好消息,"[2177.00000001, 95.00000001000001]"
欢迎,"[12404.00000001, 1278.00000001]"
南京,"[182.00000001, 21044.00000001]"
即日起,"[1223.00000001, 1e-08]"
人,"[1974.00000001, 23450.00000001]"
积分,"[1874.00000001, 241.00000001]"
医院,"[386.00000001, 12933.00000001]"
的,"[51053.00000001, 398026.00000001]"
